XFLR5 v6.06

Wing name :        Wing Name
Wing polar name :  T1-9.4 m/s-LLT-x0.000mm
Freestream speed :   9.400 m/s


   alpha      CL          ICd        PCd        TCd        CY        Cm         Rm         Ym       IYm       QInf        XCP
 _________  ________   ________  _________  _________  _________  _________  _________  _________  _________  _________  _________
   -1.000   0.580560   0.002956   0.010109   0.013065   0.000000  -0.331348  -0.000000   0.000000   0.000000    9.4000     0.4030
   -0.950   0.586081   0.002999   0.010073   0.013072   0.000000  -0.333151  -0.000000   0.000000   0.000000    9.4000     0.4011
   -0.900   0.591273   0.003070   0.010038   0.013108   0.000000  -0.334852  -0.000000   0.000000   0.000000    9.4000     0.3994
   -0.850   0.596536   0.003134   0.010003   0.013137   0.000000  -0.336578  -0.000000   0.000000   0.000000    9.4000     0.3976
   -0.800   0.601870   0.003192   0.009968   0.013160   0.000000  -0.338331  -0.000000   0.000000   0.000000    9.4000     0.3958
   -0.750   0.607243   0.003247   0.009933   0.013179   0.000000  -0.340101  -0.000000   0.000000   0.000000    9.4000     0.3939
   -0.700   0.612602   0.003300   0.009899   0.013199   0.000000  -0.341861  -0.000000   0.000000   0.000000    9.4000     0.3921
   -0.650   0.617942   0.003353   0.009867   0.013220   0.000000  -0.343605  -0.000000   0.000000   0.000000    9.4000     0.3905
   -0.600   0.623312   0.003406   0.009830   0.013235   0.000000  -0.345364  -0.000000   0.000000   0.000000    9.4000     0.3889
   -0.550   0.628692   0.003460   0.009792   0.013251   0.000000  -0.347134  -0.000000   0.000000   0.000000    9.4000     0.3875
   -0.500   0.634066   0.003515   0.009753   0.013268   0.000000  -0.348906  -0.000000   0.000000   0.000000    9.4000     0.3859
   -0.450   0.639474   0.003568   0.009715   0.013283   0.000000  -0.350695  -0.000000   0.000000   0.000000    9.4000     0.3843
   -0.400   0.644880   0.003622   0.009676   0.013298   0.000000  -0.352487  -0.000000   0.000000   0.000000    9.4000     0.3827
   -0.350   0.650284   0.003676   0.009638   0.013314   0.000000  -0.354284  -0.000000   0.000000  -0.000000    9.4000     0.3811
   -0.300   0.655688   0.003731   0.009599   0.013331   0.000000  -0.356084  -0.000000   0.000000   0.000000    9.4000     0.3794
   -0.250   0.661092   0.003787   0.009561   0.013348   0.000000  -0.357889   0.000000   0.000000   0.000000    9.4000     0.3778
   -0.200   0.666471   0.003844   0.009523   0.013367   0.000000  -0.359688  -0.000000   0.000000   0.000000    9.4000     0.3761
   -0.150   0.671828   0.003900   0.009488   0.013387   0.000000  -0.361470  -0.000000   0.000000   0.000000    9.4000     0.3745
   -0.100   0.677076   0.003957   0.009459   0.013416   0.000000  -0.363187  -0.000000   0.000000   0.000000    9.4000     0.3730
   -0.050   0.682198   0.004012   0.009430   0.013443   0.000000  -0.364840  -0.000000   0.000000   0.000000    9.4000     0.3715
    0.000   0.687295   0.004068   0.009402   0.013470   0.000000  -0.366484  -0.000000   0.000000   0.000000    9.4000     0.3700
    0.050   0.692391   0.004123   0.009374   0.013497   0.000000  -0.368131  -0.000000   0.000000  -0.000000    9.4000     0.3686
    0.100   0.697478   0.004179   0.009346   0.013525   0.000000  -0.369778  -0.000000   0.000000   0.000000    9.4000     0.3672
    0.150   0.702575   0.004235   0.009318   0.013552   0.000000  -0.371432  -0.000000   0.000000   0.000000    9.4000     0.3659
    0.200   0.707665   0.004291   0.009290   0.013581   0.000000  -0.373088  -0.000000   0.000000   0.000000    9.4000     0.3647
    0.250   0.712752   0.004348   0.009262   0.013610   0.000000  -0.374746  -0.000000   0.000000   0.000000    9.4000     0.3634
    0.300   0.717837   0.004406   0.009234   0.013640   0.000000  -0.376409  -0.000000   0.000000   0.000000    9.4000     0.3622
    0.350   0.722863   0.004464   0.009207   0.013671   0.000000  -0.378044  -0.000000   0.000000  -0.000000    9.4000     0.3610
    0.400   0.727834   0.004521   0.009184   0.013705   0.000000  -0.379653  -0.000000   0.000000  -0.000000    9.4000     0.3598
    0.450   0.732802   0.004580   0.009176   0.013755   0.000000  -0.381248  -0.000000   0.000000  -0.000000    9.4000     0.3587
    0.500   0.737746   0.004640   0.009169   0.013809   0.000000  -0.382836  -0.000000   0.000000   0.000000    9.4000     0.3577
    0.550   0.742704   0.004698   0.009163   0.013861   0.000000  -0.384432  -0.000000   0.000000   0.000000    9.4000     0.3566
    0.600   0.747645   0.004758   0.009157   0.013915   0.000000  -0.386026  -0.000000   0.000000   0.000000    9.4000     0.3556
    0.650   0.752605   0.004817   0.009150   0.013967   0.000000  -0.387630  -0.000000   0.000000   0.000000    9.4000     0.3545
    0.700   0.757549   0.004878   0.009144   0.014022   0.000000  -0.389233  -0.000000   0.000000   0.000000    9.4000     0.3534
    0.750   0.762513   0.004938   0.009137   0.014075   0.000000  -0.390847  -0.000000   0.000000  -0.000000    9.4000     0.3522
