#    x        Cp  
   1.00000  0.36063
   0.98566  0.07668
   0.97143 -0.00597
   0.95730 -0.04462
   0.94327 -0.07052
   0.92935 -0.08876
   0.91553 -0.12727
   0.90182 -0.14601
   0.88820 -0.18449
   0.87470 -0.20584
   0.86129 -0.23991
   0.84799 -0.27187
   0.83479 -0.29997
   0.82170 -0.34132
   0.80871 -0.37515
   0.79582 -0.41093
   0.78303 -0.46321
   0.77035 -0.49206
   0.75778 -0.54153
   0.74530 -0.58710
   0.73293 -0.62622
   0.72067 -0.66733
   0.70850 -0.70964
   0.69644 -0.75037
   0.68449 -0.78019
   0.67264 -0.82072
   0.66089 -0.86256
   0.64924 -0.87950
   0.63770 -0.91348
   0.62626 -0.94320
   0.61493 -0.97403
   0.60370 -0.98083
   0.59257 -1.01703
   0.58154 -1.04259
   0.57062 -1.05379
   0.55981 -1.06878
   0.54909 -1.09344
   0.53848 -1.12004
   0.52797 -1.12559
   0.51757 -1.13108
   0.50727 -1.15807
   0.49708 -1.17093
   0.48698 -1.19341
   0.47699 -1.19250
   0.46711 -1.20704
   0.45733 -1.23306
   0.44765 -1.24199
   0.43807 -1.24591
   0.42860 -1.25376
   0.41923 -1.27123
   0.40997 -1.29294
   0.40081 -1.29993
   0.39175 -1.30156
   0.38280 -1.30705
   0.37395 -1.33229
   0.36520 -1.33767
   0.35656 -1.34734
   0.34802 -1.34093
   0.33958 -1.35630
   0.33125 -1.37688
   0.32302 -1.39161
   0.31489 -1.38360
   0.30687 -1.38513
   0.29895 -1.39331
   0.29113 -1.41996
   0.28342 -1.42243
   0.27581 -1.42911
   0.26831 -1.42153
   0.26091 -1.42133
   0.25361 -1.44576
   0.24642 -1.44503
   0.23933 -1.44418
   0.23234 -1.44863
   0.22545 -1.46108
   0.21867 -1.45365
   0.21200 -1.46245
   0.20542 -1.48208
   0.19895 -1.47090
   0.19259 -1.46398
   0.18633 -1.45897
   0.18017 -1.47591
   0.17411 -1.49967
   0.16816 -1.46199
   0.16231 -1.46171
   0.15657 -1.46308
   0.15092 -1.47617
   0.14539 -1.46069
   0.13995 -1.45487
   0.13462 -1.46969
   0.12939 -1.43696
   0.12427 -1.42973
   0.11925 -1.44047
   0.11433 -1.45268
   0.10952 -1.41047
   0.10481 -1.38555
   0.10020 -1.42789
   0.09570 -1.38525
   0.09130 -1.36676
   0.08700 -1.40008
   0.08281 -1.34181
   0.07872 -1.33202
   0.07474 -1.32197
   0.07086 -1.31737
   0.06708 -1.29351
   0.06340 -1.28120
   0.05983 -1.25572
   0.05636 -1.22464
   0.05300 -1.20030
   0.04974 -1.21364
   0.04658 -1.17070
   0.04353 -1.12135
   0.04058 -1.11232
   0.03773 -1.08450
   0.03499 -1.04615
   0.03235 -1.03612
   0.02981 -1.02275
   0.02738 -0.94925
   0.02505 -0.91631
   0.02282 -0.91139
   0.02070 -0.85660
   0.01868 -0.84695
   0.01677 -0.81044
   0.01496 -0.72708
   0.01325 -0.70656
   0.01165 -0.66580
   0.01014 -0.63431
   0.00875 -0.60313
   0.00745 -0.56585
   0.00626 -0.47036
   0.00518 -0.43040
   0.00419 -0.39453
   0.00331 -0.30654
   0.00254 -0.31788
   0.00186 -0.11842
   0.00129  0.03191
   0.00083  0.17035
   0.00047  0.25883
   0.00021  0.39642
   0.00005  0.35876
   0.00000  0.50028
   0.00005  0.60763
   0.00021  0.72958
   0.00047  0.82681
   0.00083  0.89746
   0.00129  0.95796
   0.00186  0.99071
   0.00254  0.99956
   0.00331  0.98955
   0.00419  0.96400
   0.00518  0.94435
   0.00626  0.91102
   0.00745  0.87454
   0.00875  0.83539
   0.01014  0.75423
   0.01165  0.72766
   0.01325  0.65327
   0.01496  0.64433
   0.01677  0.61155
   0.01868  0.58367
   0.02070  0.56415
   0.02282  0.50244
   0.02505  0.48374
   0.02738  0.44973
   0.02981  0.42335
   0.03235  0.42555
   0.03499  0.40173
   0.03773  0.39296
   0.04058  0.36568
   0.04353  0.34893
   0.04658  0.34503
   0.04974  0.33341
   0.05300  0.34004
   0.05636  0.32450
   0.05983  0.30866
   0.06340  0.31096
   0.06708  0.28450
   0.07086  0.29756
   0.07474  0.29190
   0.07872  0.29899
   0.08281  0.29201
   0.08700  0.28141
   0.09130  0.27762
   0.09570  0.27229
   0.10020  0.27712
   0.10481  0.27868
   0.10952  0.27750
   0.11433  0.27539
   0.11925  0.26677
   0.12427  0.26564
   0.12939  0.26260
   0.13462  0.27080
   0.13995  0.27385
   0.14539  0.27086
   0.15092  0.26967
   0.15657  0.26558
   0.16231  0.25860
   0.16816  0.26834
   0.17411  0.26979
   0.18017  0.27237
   0.18633  0.27225
   0.19259  0.26746
   0.19895  0.26708
   0.20542  0.26352
   0.21200  0.27276
   0.21867  0.27396
   0.22545  0.27679
   0.23234  0.27010
   0.23933  0.27020
   0.24642  0.26910
   0.25361  0.27608
   0.26091  0.27732
   0.26831  0.27966
   0.27581  0.27636
   0.28342  0.27466
   0.29113  0.27707
   0.29895  0.27644
   0.30687  0.28275
   0.31489  0.28354
   0.32302  0.28222
   0.33125  0.27901
   0.33958  0.28153
   0.34802  0.28095
   0.35656  0.28838
   0.36520  0.28790
   0.37395  0.28677
   0.38280  0.28513
   0.39175  0.28475
   0.40081  0.28886
   0.40997  0.29138
   0.41923  0.29353
   0.42860  0.29108
   0.43807  0.29008
   0.44765  0.28967
   0.45733  0.29464
   0.46711  0.29588
   0.47699  0.29944
   0.48698  0.29318
   0.49708  0.29527
   0.50727  0.29791
   0.51757  0.30135
   0.52797  0.30288
   0.53848  0.30058
   0.54909  0.30080
   0.55981  0.30178
   0.57062  0.30771
   0.58154  0.30929
   0.59257  0.30309
   0.60370  0.30928
   0.61493  0.30982
   0.62626  0.31625
   0.63770  0.31314
   0.64924  0.31511
   0.66089  0.31509
   0.67264  0.32421
   0.68449  0.32590
   0.69644  0.32454
   0.70850  0.32980
   0.72067  0.33427
   0.73293  0.34004
   0.74530  0.34353
   0.75778  0.34619
   0.77035  0.35579
   0.78303  0.36030
   0.79582  0.36130
   0.80871  0.36914
   0.82170  0.37711
   0.83479  0.37781
   0.84799  0.38515
   0.86129  0.39069
   0.87470  0.39394
   0.88820  0.39602
   0.90182  0.40320
   0.91553  0.40196
   0.92935  0.41006
   0.94327  0.40549
   0.95730  0.40283
   0.97143  0.38707
   0.98566  0.37956
   1.00000  0.36063
