#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.79961  0.000000  0.000000  0.000000     1.000
   0.01538  0.98566  0.00556  0.96089  0.000000  0.000000  0.000000     1.000
   0.03048  0.97143  0.01062  1.00298  0.000000  0.000000  0.000000     1.000
   0.04535  0.95730  0.01525  1.02207  0.000000  0.000000  0.000000     1.000
   0.06006  0.94327  0.01965  1.03466  0.000000  0.000000  0.000000     1.000
   0.07462  0.92935  0.02393  1.04344  0.000000  0.000000  0.000000     1.000
   0.08908  0.91553  0.02820  1.06173  0.000000  0.000000  0.000000     1.000
   0.10342  0.90182  0.03239  1.07052  0.000000  0.000000  0.000000     1.000
   0.11767  0.88820  0.03658  1.08834  0.000000  0.000000  0.000000     1.000
   0.13178  0.87470  0.04070  1.09811  0.000000  0.000000  0.000000     1.000
   0.14581  0.86129  0.04481  1.11351  0.000000  0.000000  0.000000     1.000
   0.15972  0.84799  0.04888  1.12777  0.000000  0.000000  0.000000     1.000
   0.17352  0.83479  0.05291  1.14016  0.000000  0.000000  0.000000     1.000
   0.18721  0.82170  0.05692  1.15815  0.000000  0.000000  0.000000     1.000
   0.20079  0.80871  0.06087  1.17267  0.000000  0.000000  0.000000     1.000
   0.21426  0.79582  0.06477  1.18782  0.000000  0.000000  0.000000     1.000
   0.22761  0.78303  0.06863  1.20963  0.000000  0.000000  0.000000     1.000
   0.24084  0.77035  0.07237  1.22150  0.000000  0.000000  0.000000     1.000
   0.25393  0.75778  0.07605  1.24158  0.000000  0.000000  0.000000     1.000
   0.26692  0.74530  0.07963  1.25980  0.000000  0.000000  0.000000     1.000
   0.27976  0.73293  0.08308  1.27523  0.000000  0.000000  0.000000     1.000
   0.29246  0.72067  0.08641  1.29125  0.000000  0.000000  0.000000     1.000
   0.30505  0.70850  0.08962  1.30753  0.000000  0.000000  0.000000     1.000
   0.31749  0.69644  0.09269  1.32302  0.000000  0.000000  0.000000     1.000
   0.32979  0.68449  0.09561  1.33424  0.000000  0.000000  0.000000     1.000
   0.34197  0.67264  0.09841  1.34934  0.000000  0.000000  0.000000     1.000
   0.35402  0.66089  0.10107  1.36476  0.000000  0.000000  0.000000     1.000
   0.36593  0.64924  0.10356  1.37095  0.000000  0.000000  0.000000     1.000
   0.37771  0.63770  0.10593  1.38328  0.000000  0.000000  0.000000     1.000
   0.38937  0.62626  0.10817  1.39399  0.000000  0.000000  0.000000     1.000
   0.40089  0.61493  0.11027  1.40500  0.000000  0.000000  0.000000     1.000
   0.41229  0.60370  0.11222  1.40742  0.000000  0.000000  0.000000     1.000
   0.42357  0.59257  0.11408  1.42022  0.000000  0.000000  0.000000     1.000
   0.43474  0.58154  0.11581  1.42919  0.000000  0.000000  0.000000     1.000
   0.44577  0.57062  0.11740  1.43311  0.000000  0.000000  0.000000     1.000
   0.45669  0.55981  0.11888  1.43832  0.000000  0.000000  0.000000     1.000
   0.46750  0.54909  0.12027  1.44687  0.000000  0.000000  0.000000     1.000
   0.47818  0.53848  0.12155  1.45604  0.000000  0.000000  0.000000     1.000
   0.48876  0.52797  0.12270  1.45794  0.000000  0.000000  0.000000     1.000
   0.49921  0.51757  0.12375  1.45982  0.000000  0.000000  0.000000     1.000
   0.50955  0.50727  0.12473  1.46904  0.000000  0.000000  0.000000     1.000
   0.51978  0.49708  0.12561  1.47341  0.000000  0.000000  0.000000     1.000
   0.52991  0.48698  0.12640  1.48102  0.000000  0.000000  0.000000     1.000
   0.53993  0.47699  0.12708  1.48071  0.000000  0.000000  0.000000     1.000
   0.54983  0.46711  0.12769  1.48561  0.000000  0.000000  0.000000     1.000
   0.55962  0.45733  0.12823  1.49434  0.000000  0.000000  0.000000     1.000
   0.56931  0.44765  0.12867  1.49733  0.000000  0.000000  0.000000     1.000
   0.57890  0.43807  0.12902  1.49864  0.000000  0.000000  0.000000     1.000
   0.58837  0.42860  0.12930  1.50125  0.000000  0.000000  0.000000     1.000
   0.59774  0.41923  0.12952  1.50706  0.000000  0.000000  0.000000     1.000
   0.60700  0.40997  0.12967  1.51425  0.000000  0.000000  0.000000     1.000
   0.61616  0.40081  0.12973  1.51655  0.000000  0.000000  0.000000     1.000
   0.62522  0.39175  0.12971  1.51709  0.000000  0.000000  0.000000     1.000
   0.63418  0.38280  0.12963  1.51890  0.000000  0.000000  0.000000     1.000
   0.64303  0.37395  0.12950  1.52718  0.000000  0.000000  0.000000     1.000
   0.65178  0.36520  0.12929  1.52895  0.000000  0.000000  0.000000     1.000
   0.66042  0.35656  0.12901  1.53210  0.000000  0.000000  0.000000     1.000
   0.66897  0.34802  0.12866  1.53001  0.000000  0.000000  0.000000     1.000
   0.67742  0.33958  0.12827  1.53502  0.000000  0.000000  0.000000     1.000
   0.68576  0.33125  0.12783  1.54171  0.000000  0.000000  0.000000     1.000
   0.69401  0.32302  0.12732  1.54648  0.000000  0.000000  0.000000     1.000
   0.70216  0.31489  0.12673  1.54389  0.000000  0.000000  0.000000     1.000
   0.71020  0.30687  0.12609  1.54439  0.000000  0.000000  0.000000     1.000
   0.71815  0.29895  0.12541  1.54703  0.000000  0.000000  0.000000     1.000
   0.72601  0.29113  0.12469  1.55562  0.000000  0.000000  0.000000     1.000
   0.73376  0.28342  0.12390  1.55642  0.000000  0.000000  0.000000     1.000
   0.74141  0.27581  0.12305  1.55856  0.000000  0.000000  0.000000     1.000
   0.74897  0.26831  0.12214  1.55613  0.000000  0.000000  0.000000     1.000
   0.75643  0.26091  0.12119  1.55606  0.000000  0.000000  0.000000     1.000
   0.76379  0.25361  0.12021  1.56389  0.000000  0.000000  0.000000     1.000
   0.77106  0.24642  0.11917  1.56366  0.000000  0.000000  0.000000     1.000
   0.77823  0.23933  0.11808  1.56339  0.000000  0.000000  0.000000     1.000
   0.78531  0.23234  0.11695  1.56481  0.000000  0.000000  0.000000     1.000
   0.79230  0.22545  0.11578  1.56878  0.000000  0.000000  0.000000     1.000
   0.79919  0.21867  0.11456  1.56641  0.000000  0.000000  0.000000     1.000
   0.80598  0.21200  0.11331  1.56922  0.000000  0.000000  0.000000     1.000
   0.81268  0.20542  0.11202  1.57546  0.000000  0.000000  0.000000     1.000
   0.81929  0.19895  0.11067  1.57191  0.000000  0.000000  0.000000     1.000
   0.82580  0.19259  0.10928  1.56971  0.000000  0.000000  0.000000     1.000
   0.83222  0.18633  0.10786  1.56811  0.000000  0.000000  0.000000     1.000
   0.83855  0.18017  0.10642  1.57350  0.000000  0.000000  0.000000     1.000
   0.84479  0.17411  0.10494  1.58104  0.000000  0.000000  0.000000     1.000
   0.85093  0.16816  0.10339  1.56907  0.000000  0.000000  0.000000     1.000
   0.85699  0.16231  0.10182  1.56898  0.000000  0.000000  0.000000     1.000
   0.86295  0.15657  0.10023  1.56942  0.000000  0.000000  0.000000     1.000
   0.86882  0.15092  0.09861  1.57359  0.000000  0.000000  0.000000     1.000
   0.87460  0.14539  0.09695  1.56866  0.000000  0.000000  0.000000     1.000
   0.88029  0.13995  0.09526  1.56680  0.000000  0.000000  0.000000     1.000
   0.88589  0.13462  0.09355  1.57152  0.000000  0.000000  0.000000     1.000
   0.89141  0.12939  0.09179  1.56108  0.000000  0.000000  0.000000     1.000
   0.89683  0.12427  0.09002  1.55876  0.000000  0.000000  0.000000     1.000
   0.90215  0.11925  0.08824  1.56220  0.000000  0.000000  0.000000     1.000
   0.90740  0.11433  0.08643  1.56610  0.000000  0.000000  0.000000     1.000
